Item,Revenue Class,Department, Default Price ,Qty, Discounts , Avg. Sale Price , Gross Sales ,Net Sales,
Pink Panties,Liquor,Cocktails,5.00,19,0.00,5.00,95.00,95.00,
Pink Starburst,Liquor,Cocktails,6.00,25,0.00,6.00,150.00,150.00,
Pink Whitney,Liquor,Liqueur,5.00,34,5.14,4.14,146.00,140.86,
Pink Whitney Lemonade,Liquor,Vodka,5.00,182,134.00,3.72,811.00,677.00,
Pinnacle Whipped,Liquor,Vodka,5.50,18,3.30,5.32,99.00,95.70,
Quesadillas,Food,Entrees,9.25,16,11.56,8.53,148.00,136.44,
Quesadillas w/ Grilled Chicken,Food,Entrees,9.00,113,124.82,8.40,1074.00,949.18,
Quesadillas w/ Shrimp,Food,Entrees,8.00,18,36.25,6.01,144.50,108.25,
Quesadilla w/ Steak,Food,Entrees,13.00,24,68.90,10.13,312.00,243.10,
Queso 4oz,Food,Sides,2.00,13,8.00,1.38,26.00,18.00,
Red Bull,Beverage,Unalcoholic,3.25,128,26.01,3.05,416.00,389.99,
Red Headed Slut,Liquor,Cocktails,6.50,7,0.00,6.50,45.50,45.50,
Revolver Blood and Honey,Beer,Bottle Beer,4.00,32,0.00,3.94,126.00,126.00,
Royal Fuck,Liquor,Cocktails,7.00,90,9.43,6.43,588.50,579.07,
Rumchata,Liquor,Liqueur,6.50,10,1.30,6.37,65.00,63.70,
Rumpleminze,Liquor,Liqueur,6.50,636,490.43,5.76,4154.50,3664.07,
Salsa,Food,Sides,1.00,13,1.50,0.88,13.00,11.50,
Sauteed Green Beans,Food,Sides,2.75,4,0.00,2.75,11.00,11.00,
Sauteed Vegetable Medley,Food,Sides,3.00,2,0.00,3.00,6.00,6.00,
Scooby Snack,Liquor,Cocktails,5.50,8,0.00,5.50,44.00,44.00,
Seagrams 7,Liquor,Whiskey,7.00,84,0.00,6.83,574.00,574.00,
Sex On The Beach,Liquor,Cocktails,7.00,10,0.00,5.00,50.00,50.00,
ShinerBock,Beer,Bottle Beer,4.00,43,4.00,3.91,172.00,168.00,
Shiner Bock 16oz,Beer,Draft Beer,4.50,358,111.42,4.04,1559.00,1447.58,
Shiner Bock 24oz,Beer,Draft Beer,6.00,336,12.00,5.90,1994.00,1982.00,
Shiner With Buffalo,Liquor,Draft Beer,8.00,1,0.00,8.00,8.00,8.00,
Shrimp & Fish Combos,Food,Entrees,14.75,35,66.39,12.91,518.25,451.86,
Shrimp Po Boy,Food,Sand & Burg,15.00,14,11.25,14.20,210.00,198.75,
Shrimp Po'Boy,Food,Seafood,15.75,1,0.00,15.75,15.75,15.75,
Side House or Caesar Salad,Food,Sides,3.50,5,3.50,2.80,17.50,14.00,
Skewball,Liquor,Whiskey,7.25,178,193.75,5.94,1251.25,1057.50,
Smirnoff Citrus,Liquor,Vodka,6.50,10,0.00,6.85,68.50,68.50,
